Date,Hospital Admissions
19 de nov. de 2020,363
20 de nov. de 2020,323
21 de nov. de 2020,261
22 de nov. de 2020,215
23 de nov. de 2020,211
24 de nov. de 2020,305
25 de nov. de 2020,285
26 de nov. de 2020,257
27 de nov. de 2020,234
28 de nov. de 2020,225
29 de nov. de 2020,149
30 de nov. de 2020,123
1 de dez. de 2020,208
2 de dez. de 2020,238
3 de dez. de 2020,196
4 de dez. de 2020,219
5 de dez. de 2020,226
6 de dez. de 2020,151
7 de dez. de 2020,147
8 de dez. de 2020,215
9 de dez. de 2020,185
10 de dez. de 2020,207
11 de dez. de 2020,184
12 de dez. de 2020,185
13 de dez. de 2020,187
14 de dez. de 2020,125
15 de dez. de 2020,225
16 de dez. de 2020,201
17 de dez. de 2020,208
18 de dez. de 2020,201
19 de dez. de 2020,198
20 de dez. de 2020,133
21 de dez. de 2020,139
22 de dez. de 2020,219
23 de dez. de 2020,190
24 de dez. de 2020,211
25 de dez. de 2020,151
26 de dez. de 2020,95
27 de dez. de 2020,158
28 de dez. de 2020,150
29 de dez. de 2020,208
30 de dez. de 2020,159
31 de dez. de 2020,145
1 de jan. de 2021,150
2 de jan. de 2021,110
3 de jan. de 2021,137
4 de jan. de 2021,110
5 de jan. de 2021,149
6 de jan. de 2021,145
7 de jan. de 2021,156
8 de jan. de 2021,141
9 de jan. de 2021,137
10 de jan. de 2021,85
11 de jan. de 2021,94
12 de jan. de 2021,139
13 de jan. de 2021,142
14 de jan. de 2021,133
15 de jan. de 2021,142
16 de jan. de 2021,111
17 de jan. de 2021,79
18 de jan. de 2021,105
19 de jan. de 2021,187
20 de jan. de 2021,144
21 de jan. de 2021,148
22 de jan. de 2021,158
23 de jan. de 2021,143
24 de jan. de 2021,106
25 de jan. de 2021,92
26 de jan. de 2021,153
27 de jan. de 2021,121
28 de jan. de 2021,138
29 de jan. de 2021,119
30 de jan. de 2021,137
31 de jan. de 2021,77
1 de fev. de 2021,128
2 de fev. de 2021,142
3 de fev. de 2021,142
4 de fev. de 2021,141
5 de fev. de 2021,144
6 de fev. de 2021,123
7 de fev. de 2021,108
8 de fev. de 2021,72
9 de fev. de 2021,163
10 de fev. de 2021,132
11 de fev. de 2021,137
12 de fev. de 2021,132
13 de fev. de 2021,107
14 de fev. de 2021,91
15 de fev. de 2021,84
16 de fev. de 2021,145
17 de fev. de 2021,141
18 de fev. de 2021,142
19 de fev. de 2021,125
20 de fev. de 2021,112
21 de fev. de 2021,88
22 de fev. de 2021,115
23 de fev. de 2021,155
24 de fev. de 2021,150
25 de fev. de 2021,142
26 de fev. de 2021,204
27 de fev. de 2021,156
28 de fev. de 2021,127
1 de mar. de 2021,107
2 de mar. de 2021,176
3 de mar. de 2021,152
4 de mar. de 2021,171
5 de mar. de 2021,152
6 de mar. de 2021,141
7 de mar. de 2021,122
8 de mar. de 2021,113
9 de mar. de 2021,202
10 de mar. de 2021,154
11 de mar. de 2021,139
12 de mar. de 2021,170
13 de mar. de 2021,195
14 de mar. de 2021,159
15 de mar. de 2021,150
16 de mar. de 2021,208
17 de mar. de 2021,207
18 de mar. de 2021,208
19 de mar. de 2021,182
20 de mar. de 2021,243
21 de mar. de 2021,185
22 de mar. de 2021,201
23 de mar. de 2021,282
24 de mar. de 2021,251
25 de mar. de 2021,242
26 de mar. de 2021,208
27 de mar. de 2021,296
28 de mar. de 2021,213
29 de mar. de 2021,199
30 de mar. de 2021,319
31 de mar. de 2021,309
1 de abr. de 2021,290
2 de abr. de 2021,296
3 de abr. de 2021,259
4 de abr. de 2021,171
5 de abr. de 2021,230
6 de abr. de 2021,235
7 de abr. de 2021,333
8 de abr. de 2021,250
9 de abr. de 2021,275
10 de abr. de 2021,255
11 de abr. de 2021,202
12 de abr. de 2021,225
13 de abr. de 2021,267
14 de abr. de 2021,217
15 de abr. de 2021,239
16 de abr. de 2021,249
17 de abr. de 2021,245
18 de abr. de 2021,201
19 de abr. de 2021,210
20 de abr. de 2021,303
21 de abr. de 2021,244
22 de abr. de 2021,231
23 de abr. de 2021,222
24 de abr. de 2021,228
25 de abr. de 2021,162
26 de abr. de 2021,156
27 de abr. de 2021,231
28 de abr. de 2021,210
29 de abr. de 2021,206
30 de abr. de 2021,191
1 de mai. de 2021,195
2 de mai. de 2021,161
3 de mai. de 2021,153
4 de mai. de 2021,191
5 de mai. de 2021,164
6 de mai. de 2021,145
7 de mai. de 2021,163
